"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"CAMTA1"	0.190348947491461	0.00152880755980453	-3.21293976298976	-1.58669838257026	-0.0720948483306891	"CAMTA1"	"CAMTA1"
"CCNH"	0.190348947491461	0.00155821560098148	-3.20718102845719	-1.60399570233645	-0.064816123137026	"CCNH"	"CCNH"
"FBXO7"	0.190348947491461	0.00156751100621732	-3.20538174850707	-1.60939440641995	-0.0645139673894408	"FBXO7"	"FBXO7"
"SPARC"	0.190348947491461	0.0015706931398823	-3.20476806722739	-1.6112351205543	-0.0948665970512457	"SPARC"	"SPARC"
"PRKAR2B"	0.190348947491461	0.00157087973508742	-3.20473211774805	-1.61134293982878	-0.0909753706984624	"PRKAR2B"	"PRKAR2B"
"BTG2"	0.192606277544328	0.00160572812436956	-3.19808668532201	-1.63125511588392	-0.0781834398403768	"BTG2"	"BTG2"
"RABGGTB"	0.196198868120868	0.00165621854041757	3.18869185187315	-1.65934191256456	0.0511315274242913	"RABGGTB"	"RABGGTB"
"UEVLD"	0.196198868120868	0.00166872300464907	3.18640617330851	-1.66616390310025	0.0379745032547079	"UEVLD"	"UEVLD"
"TAF9B"	0.199000226287181	0.00172509319036048	3.17629546764271	-1.6962880305869	0.0616825564388329	"TAF9B"	"TAF9B"
"RAB40A"	0.199000226287181	0.00173246694601139	3.1749956038297	-1.70015461143051	0.0293944491348328	"RAB40A"	"RAB40A"
"GPR124"	0.199000226287181	0.00174282303443089	-3.17317863419917	-1.70555698229139	-0.0441216257037456	"GPR124"	"GPR124"
"POLR3K"	0.200668748294533	0.00177433419544639	3.16771088814121	-1.72179730503778	0.0866713088696795	"POLR3K"	"POLR3K"
"VPS26A"	0.201152757070078	0.00180094272301833	3.16316341958053	-1.73528493986733	0.0525223982452809	"VPS26A"	"VPS26A"
"DLST"	0.201152757070078	0.00182012001756507	-3.1599243839746	-1.74488112892825	-0.0883674967529434	"DLST"	"DLST"
"PVALB"	0.201152757070078	0.00182943139061629	-3.15836307640191	-1.74950359150805	-0.154944841889861	"PVALB"	"PVALB"
"CHN1"	0.208353337983847	0.00191246432338858	-3.14475666228493	-1.78969976425617	-0.0595434793844607	"CHN1"	"CHN1"
"MATR3"	0.213519548090397	0.00198732904478901	-3.13294943740184	-1.8244534884842	-0.0620315131877556	"MATR3"	"MATR3"
