gene_id,old_1,old_2,young_1,young_2
ENSG00000173391.9|OLR1,140,85,81,99
ENSG00000162676.12|GFI1,0,13,0,10
ENSG00000260908.1|AC009093.3,6,0,7,0
ENSG00000125046.15|SSUH2,27,14,22,7
ENSG00000287926.1|AC113208.4,14,0,0,0
ENSG00000213133.4|PPP1R14BP5,6,5,1,2
ENSG00000101350.8|KIF3B,4678,2713,2170,2620
ENSG00000270110.2|AL353593.2,4,6,0,5
ENSG00000176198.3|OR11H4,3,8,6,2
ENSG00000271679.1|LSM1P2,0,4,0,0
ENSG00000183091.19|NEB,836,291,402,280
ENSG00000224914.4|LINC00863,460,220,225,108
ENSG00000287411.1|AL031259.1,1,0,3,2
ENSG00000002822.15|MAD1L1,993,762,657,596
ENSG00000069345.12|DNAJA2,3633,2370,1468,1777
ENSG00000287586.1|Z98886.1,99,72,66,27
ENSG00000120054.11|CPN1,8,0,3,0
ENSG00000124782.20|RREB1,522,248,280,186
ENSG00000287549.1|AC092268.2,0,4,0,0
ENSG00000273784.4|AL137058.2,62,129,10,21
ENSG00000178567.7|EPM2AIP1,2348,1481,1058,1196
ENSG00000232237.3|ASCL5,35,14,50,7
ENSG00000227873.1|Z93242.2,0,0,2,0
ENSG00000214717.12_PAR_Y|ZBED1,510,346,273,184
ENSG00000136628.18|EPRS,3689,2023,1567,1550
ENSG00000238941.1|RNU6-953P,1,1,0,0
ENSG00000232800.1|SLC7A15P,0,0,0,0
ENSG00000200733.1|RF00212,0,0,0,0
ENSG00000213977.8|TAX1BP3,116,114,95,44
ENSG00000250106.1|ANKRD33B-AS1,16,7,0,0
ENSG00000204253.4|HNRNPCP2,228,123,80,138
ENSG00000281219.2|LINC00254,9,0,2,0
ENSG00000277505.1|AC116165.1,0,0,0,0
ENSG00000234102.1|KRT19P4,7,0,2,0
ENSG00000271304.2|DPRXP2,0,0,0,0
ENSG00000035720.8|STAP1,0,0,0,0
ENSG00000261319.1|LINC02152,4,0,6,0
ENSG00000261048.1|AC012414.6,0,0,0,0
ENSG00000224830.2|OR2X1P,12,3,0,3
